"Date","1981-2010 Median","Interquartile Range (low)","Interquartile Range (high)","Interdecile Range (low)","Interdecile Range (high)","2022","2012 (Record minimum)"
1,13.703,13.355,13.983,13.063,14.146,13.105,13.12
2,13.771,13.414,14.039,13.109,14.201,13.197,13.233
3,13.817,13.46,14.111,13.161,14.258,13.281,13.29
4,13.861,13.51,14.18,13.206,14.317,13.35,13.349
5,13.911,13.545,14.227,13.256,14.367,13.413,13.397
6,13.974,13.579,14.28,13.297,14.418,13.46,13.407
7,14.035,13.623,14.331,13.352,14.463,13.476,13.418
8,14.118,13.692,14.361,13.389,14.508,13.532,13.451
9,14.195,13.733,14.402,13.435,14.553,13.581,13.496
10,14.236,13.793,14.442,13.479,14.598,13.621,13.551
11,14.261,13.847,14.475,13.535,14.645,13.664,13.62
12,14.29,13.891,14.51,13.569,14.693,13.71,13.7
13,14.309,13.934,14.548,13.623,14.74,13.73,13.768
14,14.327,13.983,14.594,13.67,14.785,13.753,13.808
15,14.369,14.012,14.641,13.716,14.841,13.785,13.811
16,14.411,14.061,14.694,13.745,14.889,13.816,13.786
17,14.45,14.108,14.746,13.778,14.934,13.852,13.73
18,14.491,14.146,14.808,13.798,14.981,13.906,13.684
19,14.538,14.203,14.859,13.827,15.04,13.957,13.651
20,14.591,14.262,14.914,13.858,15.082,13.994,13.645
21,14.636,14.287,14.963,13.885,15.134,14.037,13.677
22,14.667,14.32,15.007,13.923,15.189,14.075,13.735
23,14.693,14.357,15.034,13.972,15.243,14.085,13.797
24,14.708,14.389,15.049,14.025,15.287,14.094,13.859
25,14.72,14.433,15.067,14.064,15.327,14.089,13.907
26,14.737,14.484,15.098,14.1,15.355,14.076,13.943
27,14.761,14.519,15.134,14.142,15.386,14.089,13.951
28,14.791,14.558,15.177,14.169,15.42,14.111,13.967
29,14.826,14.589,15.235,14.179,15.455,14.159,13.978
30,14.862,14.608,15.283,14.202,15.492,14.258,14.002
31,14.898,14.643,15.322,14.221,15.541,14.326,14.02
32,14.946,14.682,15.356,14.222,15.581,14.368,14.056
33,14.985,14.716,15.384,14.255,15.61,14.419,14.073
34,15.036,14.75,15.406,14.277,15.634,14.461,14.082
35,15.08,14.772,15.422,14.287,15.654,14.474,14.096
36,15.131,14.801,15.44,14.305,15.66,14.496,14.121
37,15.158,14.822,15.458,14.324,15.664,14.51,14.139
38,15.183,14.839,15.47,14.32,15.665,14.512,14.165
39,15.2,14.87,15.484,14.325,15.678,14.496,14.22
40,15.219,14.909,15.505,14.35,15.7,14.474,14.263
41,15.226,14.942,15.522,14.375,15.726,14.445,14.3
42,15.252,14.986,15.525,14.405,15.753,14.43,14.35
43,15.272,15.023,15.531,14.439,15.782,14.419,14.407
44,15.29,15.039,15.526,14.482,15.794,14.422,14.453
45,15.309,15.053,15.521,14.523,15.785,14.459,14.521
46,15.333,15.063,15.517,14.573,15.784,14.506,14.589
47,15.35,15.057,15.527,14.618,15.794,14.554,14.634
48,15.373,15.054,15.545,14.675,15.814,14.608,14.66
49,15.394,15.067,15.571,14.727,15.848,14.656,14.685
50,15.416,15.089,15.6,14.751,15.89,14.672,14.688
51,15.434,15.111,15.635,14.762,15.918,14.697,14.688
52,15.454,15.145,15.665,14.768,15.94,14.759,14.694
53,15.463,15.175,15.688,14.766,15.955,14.804,14.705
54,15.472,15.201,15.704,14.761,15.968,14.836,14.722
55,15.478,15.236,15.721,14.771,15.985,14.845,14.744
56,15.482,15.255,15.713,14.782,16.017,14.875,14.768
57,15.491,15.26,15.702,14.79,16.037,14.838,14.797
58,15.506,15.279,15.7,14.795,16.05,14.789,14.821
59,15.522,15.288,15.71,14.816,16.068,14.747,14.861
60,15.534,15.264,15.718,14.838,16.075,14.734,14.908
61,15.546,15.257,15.734,14.881,16.066,14.711,14.971
62,15.536,15.255,15.749,14.931,16.06,14.702,15.039
63,15.523,15.239,15.753,14.975,16.057,14.716,15.111
64,15.504,15.235,15.745,14.992,16.04,14.734,15.171
65,15.48,15.24,15.742,15.016,16.028,14.747,15.22
66,15.457,15.242,15.737,15.026,16.026,14.748,15.236
67,15.468,15.253,15.733,15.013,16.038,14.761,15.234
68,15.469,15.264,15.727,15.003,16.056,14.761,15.226
69,15.477,15.269,15.733,14.981,16.073,14.747,15.206
70,15.487,15.276,15.729,14.965,16.102,14.718,15.187
71,15.493,15.271,15.732,14.949,16.125,14.687,15.179
72,15.494,15.26,15.751,14.936,16.126,14.648,15.175
73,15.5,15.249,15.78,14.909,16.111,14.604,15.155
74,15.502,15.228,15.801,14.906,16.092,14.561,15.13
75,15.504,15.21,15.817,14.895,16.059,14.533,15.15
76,15.505,15.193,15.834,14.884,16.022,14.503,15.174
77,15.495,15.18,15.826,14.893,15.988,14.48,15.199
78,15.492,15.16,15.794,14.904,15.954,14.471,15.247
79,15.483,15.15,15.76,14.909,15.919,14.492,15.289
80,15.474,15.14,15.74,14.912,15.886,14.507,15.294
81,15.458,15.129,15.718,14.909,15.852,14.506,15.28
82,15.455,15.119,15.709,14.882,15.841,14.489,15.262
83,15.454,15.126,15.712,14.859,15.824,14.475,15.234
84,15.457,15.126,15.702,14.847,15.807,14.478,15.207
85,15.458,15.122,15.682,14.836,15.796,14.491,15.17
86,15.455,15.132,15.652,14.829,15.791,14.515,15.16
87,15.435,15.129,15.617,14.84,15.776,14.56,15.149
88,15.415,15.11,15.593,14.842,15.78,14.579,15.148
89,15.399,15.095,15.589,14.828,15.781,14.549,15.155
90,15.388,15.085,15.574,14.804,15.77,14.498,15.162
91,15.373,15.075,15.561,14.769,15.751,14.455,15.162
92,15.352,15.054,15.546,14.734,15.718,14.412,15.153
93,15.314,15.026,15.521,14.707,15.672,14.382,15.136
94,15.261,15,15.491,14.676,15.634,14.381,15.121
95,15.204,14.95,15.465,14.635,15.603,14.387,15.106
96,15.161,14.892,15.438,14.588,15.577,14.379,15.062
97,15.125,14.846,15.416,14.532,15.555,14.371,15.024
98,15.098,14.816,15.382,14.473,15.545,14.387,14.969
99,15.073,14.775,15.347,14.419,15.528,14.379,14.916
100,15.028,14.743,15.315,14.381,15.515,14.368,14.863
101,14.981,14.708,15.292,14.351,15.505,14.342,14.831
102,14.913,14.675,15.267,14.311,15.484,14.295,14.789
103,14.842,14.627,15.245,14.261,15.455,14.228,14.765
104,14.782,14.578,15.209,14.218,15.418,14.164,14.726
105,14.736,14.542,15.177,14.157,15.374,14.114,14.698
106,14.694,14.494,15.139,14.095,15.319,14.078,14.677
107,14.667,14.439,15.1,14.059,15.273,14.048,14.682
108,14.645,14.388,15.056,14.033,15.22,14.008,14.677
109,14.617,14.334,15.021,14.002,15.168,13.974,14.669
110,14.596,14.283,14.973,13.995,15.127,13.937,14.653
111,14.57,14.246,14.929,13.983,15.094,13.897,14.638
112,14.548,14.211,14.874,13.969,15.04,13.873,14.611
113,14.523,14.175,14.823,13.945,14.999,13.854,14.583
